"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","cellType"
"Cell877",6565,14902,15679,1175,12854,1149,"Batch1"
"Cell878",3915,6489,9494,791,7915,677,"Batch1"
"Cell879",8975,21538,25451,1800,20781,1864,"Batch1"
"Cell880",9749,12839,22197,1419,13160,1059,"Batch1"
"Cell881",9911,17847,16896,1495,11326,1430,"Batch1"
"Cell882",10766,19641,25776,2005,19178,2040,"Batch1"
"Cell883",13074,19794,27322,2018,24039,1818,"Batch1"
"Cell884",8830,13406,21754,1354,13733,1272,"Batch1"
"Cell885",9253,11724,23578,1611,18389,1277,"Batch1"
"Cell886",8137,11230,18260,1283,13234,1779,"Batch1"
"Cell887",7604,13028,18429,1518,10908,1349,"Batch1"
"Cell888",10498,15508,26495,1665,17240,1356,"Batch1"
"Cell889",9562,18360,20458,1180,15881,1550,"Batch1"
"Cell890",9198,12821,15545,1449,14284,1390,"Batch1"
"Cell891",6108,10355,18816,1108,11047,977,"Batch1"
"Cell892",6838,13319,16830,1333,9841,1431,"Batch1"
"Cell893",9192,18054,19660,1449,17243,1309,"Batch1"
"Cell894",12304,22496,31103,2287,22821,1552,"Batch1"
"Cell895",9149,17004,20257,1698,14426,1618,"Batch1"
"Cell896",6130,11852,15185,1007,10232,1095,"Batch1"
"Cell897",12295,17846,26242,1744,18808,1557,"Batch1"
"Cell898",10534,18759,22318,1769,20327,1937,"Batch1"
"Cell899",8417,12873,20730,911,11441,1222,"Batch1"
"Cell900",6039,8749,13188,607,7476,778,"Batch1"
"Cell901",6035,11693,14155,1215,10235,1058,"Batch1"
"Cell902",6762,10847,19338,855,12731,1065,"Batch1"
"Cell903",10783,18228,21995,1478,14650,1436,"Batch1"
"Cell904",8906,12977,13738,1210,13697,1157,"Batch1"
"Cell905",10755,19557,24473,1957,19305,1722,"Batch1"
"Cell906",8638,13479,17383,1254,13346,1320,"Batch1"
"Cell907",8055,13072,15827,1240,12528,1026,"Batch1"
"Cell908",7002,13539,13490,1020,11440,1045,"Batch1"
"Cell909",6489,9645,13982,1059,14241,1284,"Batch1"
"Cell910",6637,15671,17910,1696,16055,1827,"Batch1"
"Cell911",8709,12133,18239,1083,13605,1262,"Batch1"
"Cell912",6815,13678,16069,1070,10500,1046,"Batch1"
"Cell913",7465,13333,22167,1041,12135,1224,"Batch1"
"Cell914",11711,21658,30436,1363,18662,1869,"Batch1"
"Cell915",11135,20471,25885,1708,17290,1534,"Batch1"
"Cell916",8551,13020,20465,1222,14895,1505,"Batch1"
"Cell917",6849,14433,18426,1213,12996,1317,"Batch1"
"Cell918",8769,16916,22229,1496,12427,1478,"Batch1"
"Cell919",12884,23225,23608,1866,17895,1850,"Batch1"
"Cell920",5698,11358,14780,1041,10536,748,"Batch1"
"Cell921",8825,14894,23053,1083,11301,973,"Batch1"
"Cell922",11972,23793,23550,1706,20768,1616,"Batch1"
"Cell923",7788,14443,14089,1125,12615,983,"Batch1"
"Cell924",12424,13644,22316,2140,22899,2104,"Batch1"
"Cell925",9133,16432,23020,2045,18709,1446,"Batch1"
"Cell926",7028,12591,13675,1238,9420,751,"Batch1"
"Cell927",5779,9976,15894,1017,11415,1245,"Batch1"
"Cell928",9398,13588,15927,1487,16706,1744,"Batch1"
"Cell929",11754,16014,26255,1835,18101,1573,"Batch1"
"Cell930",8658,13187,17767,1330,13813,1169,"Batch1"
"Cell931",9921,16025,27142,1408,16331,1464,"Batch1"
"Cell932",10719,14577,21285,1517,20557,1105,"Batch1"
"Cell933",8823,12717,23699,1299,14925,1800,"Batch1"
"Cell934",7237,15211,18648,1321,12644,1152,"Batch1"
"Cell935",10911,20737,24306,1721,19896,2106,"Batch1"
"Cell936",8814,11032,19689,1100,12361,1274,"Batch1"
"Cell937",6881,8379,11143,916,7536,973,"Batch1"
"Cell938",7586,13664,17871,1097,15288,937,"Batch1"
"Cell939",9241,14393,22467,1472,14445,1452,"Batch1"
"Cell940",8043,11147,18957,1203,11301,1319,"Batch1"
"Cell941",11711,18359,20571,1582,16520,1581,"Batch1"
"Cell942",8192,17817,23001,1502,12884,1679,"Batch1"
"Cell943",10307,15260,20504,1492,16193,1566,"Batch1"
"Cell944",9250,16400,24231,1828,19088,1578,"Batch1"
"Cell945",6230,13226,17413,1366,13215,1020,"Batch1"
"Cell946",10290,20145,20985,1921,16615,1537,"Batch1"
"Cell947",7670,14213,12440,1349,12045,1169,"Batch1"
"Cell948",6569,11317,14912,1144,10483,1110,"Batch1"
"Cell949",9776,19659,24506,1654,16982,1256,"Batch1"
"Cell950",9617,16789,16951,1768,13243,1320,"Batch1"
"Cell951",8477,11192,14886,1293,12258,1408,"Batch1"
"Cell952",6458,12420,19348,1150,9899,1161,"Batch1"
"Cell953",6182,11143,15971,1036,11006,1448,"Batch1"
"Cell954",7014,13101,23783,1432,14601,1746,"Batch1"
"Cell955",10245,19762,22127,1440,14258,1233,"Batch1"
"Cell956",9054,16266,23735,1480,16614,1413,"Batch1"
"Cell957",5910,12086,16671,1152,13671,1436,"Batch1"
"Cell958",7372,11269,18237,1196,13350,1160,"Batch1"
"Cell959",10969,17730,21449,1700,18412,1502,"Batch1"
"Cell960",8410,13061,17943,1522,11329,1193,"Batch1"
"Cell961",11042,18733,21470,1862,18096,1892,"Batch1"
"Cell962",9570,14935,18571,1287,16208,1160,"Batch1"
"Cell963",14546,23167,26504,1868,21667,2332,"Batch1"
"Cell964",6481,9375,11978,1167,10516,1176,"Batch1"
"Cell965",6673,9956,11904,981,9482,811,"Batch1"
"Cell966",8576,16117,23711,1329,14235,1554,"Batch1"
"Cell967",8414,11757,19088,1320,12912,1136,"Batch1"
"Cell968",7457,15277,18766,1143,14130,1099,"Batch1"
"Cell969",6015,7825,14675,1168,9782,610,"Batch1"
"Cell970",13105,18378,30112,1899,16676,1796,"Batch1"
"Cell971",9096,13475,23533,1191,13720,1234,"Batch1"
"Cell972",7622,13070,16708,1304,12456,1209,"Batch1"
"Cell973",7355,14808,15165,1292,12424,1338,"Batch1"
"Cell974",7401,10309,12491,796,11401,1094,"Batch1"
"Cell975",8296,16718,22845,1390,16912,1723,"Batch1"
"Cell976",9986,17792,18595,1204,14623,1404,"Batch1"
"Cell977",13330,20274,24299,2073,16757,2335,"Batch1"
"Cell978",10592,18567,26352,1863,19201,1769,"Batch1"
"Cell979",8195,13967,19272,1437,13147,1129,"Batch1"
"Cell980",10036,16646,22136,1785,17653,1383,"Batch1"
"Cell981",8404,13093,19533,1162,10247,1244,"Batch1"
"Cell982",8681,14337,17741,1260,17542,1527,"Batch1"
"Cell983",6859,11068,11395,1033,11419,1006,"Batch1"
"Cell984",8079,8666,14137,884,11154,1172,"Batch1"
"Cell985",6215,12852,19478,1156,14928,1260,"Batch1"
"Cell986",8169,13125,15361,1090,11997,1036,"Batch1"
"Cell987",14057,20409,33293,1830,18438,1835,"Batch1"
"Cell988",9700,18534,23455,1506,15842,1571,"Batch1"
"Cell989",9971,18332,21894,1950,10698,1797,"Batch1"
"Cell990",10008,20882,22939,2068,17263,1544,"Batch1"
"Cell991",7286,15295,23001,1359,13752,1660,"Batch1"
"Cell992",8101,13298,22814,990,14046,1427,"Batch1"
"Cell993",8354,12611,17600,1446,14168,1302,"Batch1"
"Cell994",8163,14050,22131,1404,15883,1653,"Batch1"
"Cell995",10176,16361,17970,1184,18744,1526,"Batch1"
"Cell996",6517,12077,12980,1311,11711,1351,"Batch1"
"Cell997",5524,10536,16519,1116,9838,1067,"Batch1"
"Cell998",12988,15101,23685,1793,16944,1998,"Batch1"
"Cell999",6140,11319,14752,888,10949,952,"Batch1"
"Cell1000",10417,13812,18163,1378,13814,1665,"Batch1"
"Cell1001",6132,11588,15266,607,11632,746,"Batch2"
"Cell1002",8518,13500,24676,1163,20133,1361,"Batch2"
"Cell1003",6936,12738,16611,977,16510,1458,"Batch2"
"Cell1004",8210,14015,16683,931,14812,1930,"Batch2"
"Cell1005",9966,17424,26910,1486,20913,2292,"Batch2"
"Cell1006",8899,17168,23129,1083,16738,1894,"Batch2"
"Cell1007",6182,12077,19458,903,12140,1555,"Batch2"
"Cell1008",9061,13857,28676,1378,17029,1397,"Batch2"
"Cell1009",7114,19349,31177,1345,20550,1896,"Batch2"
"Cell1010",9576,15140,20030,1127,14525,1687,"Batch2"
"Cell1011",7029,13640,17857,1180,14894,1162,"Batch2"
"Cell1012",7304,14995,25082,1059,17495,1486,"Batch2"
"Cell1013",6651,8338,18427,927,10030,1226,"Batch2"
"Cell1014",11157,16875,22019,1227,20655,1953,"Batch2"
"Cell1015",7617,11322,18033,936,17472,1178,"Batch2"
"Cell1016",7464,14322,17179,939,11645,1012,"Batch2"
"Cell1017",6810,12586,20500,902,14060,1204,"Batch2"
"Cell1018",8649,15815,22219,969,17369,1589,"Batch2"
"Cell1019",8937,16961,18493,1115,18733,1407,"Batch2"
"Cell1020",6293,14789,22608,772,14303,1108,"Batch2"
"Cell1021",7944,15517,20716,1185,19264,1666,"Batch2"
"Cell1022",7273,12403,17929,894,12849,1365,"Batch2"
"Cell1023",7740,17181,20173,1350,16259,1817,"Batch2"
"Cell1024",7511,13411,18307,803,11795,1197,"Batch2"
"Cell1025",12223,19671,24297,1255,19063,1868,"Batch2"
"Cell1026",8062,16346,26599,983,16430,1604,"Batch2"
"Cell1027",7760,13934,19185,918,13366,862,"Batch2"
"Cell1028",5919,13720,17565,856,13104,1344,"Batch2"
"Cell1029",5595,8948,17320,803,14947,1285,"Batch2"
"Cell1030",8173,16211,21703,1186,17832,1584,"Batch2"
"Cell1031",6703,13810,20241,1148,14754,1490,"Batch2"
"Cell1032",7868,13316,21331,1040,17245,1478,"Batch2"
"Cell1033",7899,13465,21345,1108,14836,1917,"Batch2"
"Cell1034",6016,9597,15723,764,13646,1347,"Batch2"
"Cell1035",5795,11863,13689,824,9086,1352,"Batch2"
"Cell1036",7151,11214,19133,742,16094,1251,"Batch2"
"Cell1037",9493,14794,24894,1143,17464,1811,"Batch2"
"Cell1038",8898,18359,24347,1129,14511,1221,"Batch2"
"Cell1039",9958,20037,18235,1098,17279,1569,"Batch2"
"Cell1040",7102,16071,18780,886,15001,1180,"Batch2"
"Cell1041",7324,14091,24451,1008,15816,1576,"Batch2"
"Cell1042",8702,14331,20650,898,11492,1514,"Batch2"
"Cell1043",8148,15048,28825,880,17201,1500,"Batch2"
"Cell1044",10469,21781,21626,1074,23444,1975,"Batch2"
"Cell1045",9533,13350,22363,928,16552,1857,"Batch2"
"Cell1046",6131,10872,14648,780,11536,1102,"Batch2"
"Cell1047",10005,16556,22742,1052,19145,1562,"Batch2"
"Cell1048",7795,10153,16505,753,12159,895,"Batch2"
"Cell1049",4491,9227,13220,485,11467,927,"Batch2"
"Cell1050",5278,8365,12065,609,9097,822,"Batch2"
"Cell1051",6235,11287,19574,816,12598,958,"Batch2"
"Cell1052",8697,17374,27577,1101,16416,1784,"Batch2"
"Cell1053",6483,10769,16112,907,14764,1296,"Batch2"
"Cell1054",6636,9805,15080,886,12784,1061,"Batch2"
"Cell1055",8781,17584,21831,1179,20270,1589,"Batch2"
"Cell1056",7372,14536,18799,817,13231,1545,"Batch2"
"Cell1057",7435,13118,22650,818,14668,1624,"Batch2"
"Cell1058",4890,8475,11245,624,10310,1011,"Batch2"
"Cell1059",8066,15184,23250,1247,16495,1555,"Batch2"
"Cell1060",6199,12272,15983,897,12768,1007,"Batch2"
"Cell1061",7865,12260,22632,949,13198,1124,"Batch2"
"Cell1062",7883,13185,24190,936,17807,1235,"Batch2"
"Cell1063",6905,15663,15924,611,12859,893,"Batch2"
"Cell1064",7182,13909,18160,1184,13736,1361,"Batch2"
"Cell1065",6477,11929,19827,929,15003,1087,"Batch2"
"Cell1066",5434,12794,15542,859,11190,1309,"Batch2"
"Cell1067",12736,22768,23447,1261,23504,1532,"Batch2"
"Cell1068",10457,16742,21919,1257,22164,1706,"Batch2"
"Cell1069",8446,14872,18690,947,15706,1325,"Batch2"
"Cell1070",6137,11056,17083,970,12268,826,"Batch2"
"Cell1071",7634,11693,12655,914,12462,1091,"Batch2"
"Cell1072",5224,9257,12537,788,8179,1134,"Batch2"
"Cell1073",7815,14551,20538,1183,16639,1654,"Batch2"
"Cell1074",6638,9173,14952,801,10782,1258,"Batch2"
"Cell1075",6873,13810,17868,964,15331,1399,"Batch2"
"Cell1076",5325,11246,11938,649,9644,901,"Batch2"
"Cell1077",7825,11685,20685,1075,13343,1267,"Batch2"
"Cell1078",5887,16477,19163,1036,13968,1593,"Batch2"
"Cell1079",8414,12954,18252,854,17835,1503,"Batch2"
"Cell1080",8900,13783,23403,908,15309,1322,"Batch2"
"Cell1081",6274,9216,20268,889,11163,1115,"Batch2"
"Cell1082",13660,19695,25951,1421,21527,1625,"Batch2"
"Cell1083",6774,12972,22935,1036,16563,1556,"Batch2"
"Cell1084",7591,13284,20695,1041,14851,1405,"Batch2"
"Cell1085",9266,14512,16587,1163,15255,1395,"Batch2"
"Cell1086",6556,18040,25509,1052,15972,1609,"Batch2"
"Cell1087",10524,20021,25231,1250,23663,2014,"Batch2"
"Cell1088",6886,10133,15825,711,15096,976,"Batch2"
"Cell1089",9087,18215,23194,1366,19995,1751,"Batch2"
"Cell1090",6844,13469,14738,1183,18033,1176,"Batch2"
"Cell1091",8385,17295,27066,970,14294,1483,"Batch2"
"Cell1092",7404,9867,17427,838,11720,1202,"Batch2"
"Cell1093",8438,14498,23657,756,18585,1594,"Batch2"
"Cell1094",4968,9566,13093,437,8846,900,"Batch2"
"Cell1095",6420,13291,16730,922,13867,1351,"Batch2"
"Cell1096",5476,9714,13473,764,11438,982,"Batch2"
"Cell1097",8498,13699,18604,1141,18095,1427,"Batch2"
"Cell1098",6052,11334,13371,624,11465,903,"Batch2"
"Cell1099",9668,16110,19058,1251,17828,1341,"Batch2"
"Cell1100",7615,12090,22970,951,14808,1381,"Batch2"
"Cell1101",8626,16906,29144,1002,22945,1955,"Batch2"
"Cell1102",9767,16220,25969,1260,18894,1866,"Batch2"
"Cell1103",8304,16891,22399,1039,13770,1457,"Batch2"
"Cell1104",6435,13134,14100,846,14189,874,"Batch2"
"Cell1105",8147,11310,20333,1080,15212,1264,"Batch2"
"Cell1106",10874,20328,32174,1588,22343,2380,"Batch2"
"Cell1107",9660,16981,23222,1351,16822,1387,"Batch2"
"Cell1108",8630,12216,22140,926,14568,1408,"Batch2"
"Cell1109",6557,11970,20048,904,12125,1338,"Batch2"
"Cell1110",11048,18171,28798,1466,20148,1342,"Batch2"
"Cell1111",6755,10135,16455,725,13168,1032,"Batch2"
"Cell1112",5169,11582,17454,730,11026,898,"Batch2"
"Cell1113",11711,18113,25593,1535,21327,2245,"Batch2"
"Cell1114",8771,13475,18176,1067,15892,1558,"Batch2"
"Cell1115",7872,17108,25921,1133,14184,1977,"Batch2"
"Cell1116",5781,11373,18784,776,13760,1181,"Batch2"
"Cell1117",7695,16040,23979,1170,14209,1784,"Batch2"
"Cell1118",6563,12928,13436,686,12279,1275,"Batch2"
"Cell1119",7522,12426,17245,819,11281,723,"Batch2"
"Cell1120",8004,10888,20987,980,14308,1403,"Batch2"
"Cell1121",6098,10952,18015,852,10714,1536,"Batch2"
"Cell1122",6687,12528,15868,897,17793,1664,"Batch2"
"Cell1123",8279,16400,17396,990,15870,1852,"Batch2"
"Cell1124",9140,14563,21028,994,16771,1601,"Batch2"
"Cell1125",8924,19452,23738,1158,19162,1639,"Batch2"
"Cell1126",7116,14370,20480,816,15823,1183,"Batch2"
"Cell1127",7066,11174,18626,864,12404,1109,"Batch2"
"Cell1128",6885,11902,16903,747,12502,1270,"Batch2"
"Cell1129",7438,15318,23570,861,15201,1551,"Batch2"
"Cell1130",6706,15319,15054,1111,13089,1198,"Batch2"
"Cell1131",9978,19947,24607,1215,20910,1702,"Batch2"
"Cell1132",7560,14770,20613,1110,14334,1178,"Batch2"
"Cell1133",8729,15064,24209,1237,16209,1436,"Batch2"
"Cell1134",7859,13367,25913,1173,15691,971,"Batch2"
"Cell1135",6816,10568,22303,1096,15173,1190,"Batch2"
"Cell1136",9398,17294,19338,998,17657,1689,"Batch2"
"Cell1137",7452,12514,21699,599,14593,1114,"Batch2"
"Cell1138",7730,12728,19882,719,17111,1508,"Batch2"
"Cell1139",6884,13705,20078,981,16803,1720,"Batch2"
"Cell1140",8172,15817,21796,835,18263,1589,"Batch2"
"Cell1141",5756,15690,15763,805,13078,835,"Batch2"
"Cell1142",8761,14579,19535,767,13073,1450,"Batch2"
"Cell1143",5959,13945,16708,738,13044,1323,"Batch2"
"Cell1144",9330,17055,23772,958,15161,1459,"Batch2"
"Cell1145",6681,14839,19726,1165,16845,1284,"Batch2"
"Cell1146",7014,14275,21070,806,13006,1452,"Batch2"
"Cell1147",8048,15355,18130,855,17399,1520,"Batch2"
"Cell1148",9122,15317,20373,1341,17027,1440,"Batch2"
"Cell1149",4690,8967,13181,543,12670,1291,"Batch2"
"Cell1150",8013,15053,16108,752,15286,1343,"Batch2"
"Cell1151",6928,14915,21122,982,15483,1260,"Batch2"
"Cell1152",6949,14215,17610,838,12540,1173,"Batch2"
"Cell1153",9537,20023,23898,1112,19442,1758,"Batch2"
"Cell1154",6194,12492,19582,792,11212,1238,"Batch2"
"Cell1155",6795,16692,18224,1328,20158,1860,"Batch2"
"Cell1156",7474,14916,23978,1178,17015,1354,"Batch2"
"Cell1157",8541,14551,20570,1439,16262,1831,"Batch2"
"Cell1158",8410,19874,27690,991,16283,1649,"Batch2"
"Cell1159",7817,17336,25397,808,17835,1685,"Batch2"
"Cell1160",8321,14115,17407,1037,13601,1357,"Batch2"
"Cell1161",8935,14951,20441,970,15318,1981,"Batch2"
"Cell1162",8548,15223,22654,789,18689,1554,"Batch2"
"Cell1163",9236,17401,23508,1209,15984,1288,"Batch2"
"Cell1164",4863,9347,10762,842,10008,1012,"Batch2"
"Cell1165",8622,18317,25626,1334,14276,2224,"Batch2"
"Cell1166",8234,14058,20330,872,18355,1821,"Batch2"
"Cell1167",7075,12458,16698,596,13453,1042,"Batch2"
"Cell1168",7909,15835,21875,862,18184,1430,"Batch2"
"Cell1169",6441,8472,15871,670,10896,1026,"Batch2"
"Cell1170",8577,17707,23447,1317,19677,1618,"Batch2"
"Cell1171",5709,8651,15979,687,11331,1006,"Batch2"
"Cell1172",6247,11770,16307,859,12426,1186,"Batch2"
"Cell1173",6954,16603,17039,1186,18527,1514,"Batch2"
"Cell1174",8385,16455,23579,1099,18364,2187,"Batch2"
"Cell1175",8679,17170,25831,1029,16022,1369,"Batch2"
"Cell1176",7962,8288,16504,848,15221,1166,"Batch2"
"Cell1177",7145,16399,21921,1197,13894,1331,"Batch2"
"Cell1178",6674,13238,21753,780,13086,1562,"Batch2"
"Cell1179",9410,15361,21555,1013,13454,1680,"Batch2"
"Cell1180",6807,13986,16036,777,17117,1290,"Batch2"
"Cell1181",4508,7726,10705,473,8728,881,"Batch2"
"Cell1182",14004,24178,31493,1279,26449,2418,"Batch2"
"Cell1183",7594,13313,17804,832,15660,1560,"Batch2"
"Cell1184",5555,10335,12922,781,8697,1029,"Batch2"
"Cell1185",7519,15890,21837,1103,12896,1418,"Batch2"
"Cell1186",9063,17676,23926,990,15216,1892,"Batch2"
"Cell1187",10125,19811,22647,1014,15841,1564,"Batch2"
"Cell1188",8109,17112,24186,1463,18811,1683,"Batch2"
"Cell1189",7371,14968,14355,1336,15924,1463,"Batch2"
"Cell1190",9320,18937,20649,1017,17473,1976,"Batch2"
"Cell1191",7816,13261,24363,1268,21464,1467,"Batch2"
"Cell1192",8153,17539,19068,1145,20923,2174,"Batch2"
"Cell1193",8989,15818,21241,996,19709,1936,"Batch2"
"Cell1194",9354,16967,23611,1264,17260,1249,"Batch2"
"Cell1195",8747,14357,19745,956,17128,1906,"Batch2"
"Cell1196",9674,16666,20199,1218,15620,1733,"Batch2"
"Cell1197",5583,13437,17763,826,13909,1477,"Batch2"
"Cell1198",8767,16714,22966,1518,16997,1538,"Batch2"
"Cell1199",7127,12178,21492,709,12279,1117,"Batch2"
"Cell1200",9588,16089,19439,1043,18899,1621,"Batch2"
"Cell1201",6520,11717,17070,839,11579,857,"Batch2"
"Cell1202",6328,11959,16994,989,15299,1663,"Batch2"
"Cell1203",6291,11543,16674,808,13811,844,"Batch2"
"Cell1204",6200,11123,15381,748,10610,739,"Batch2"
"Cell1205",11066,22175,28554,1502,23668,2442,"Batch2"
"Cell1206",7464,18895,25043,1247,14265,1774,"Batch2"
"Cell1207",7707,14203,20141,1201,14153,1308,"Batch2"
"Cell1208",5958,10456,16197,831,13573,1080,"Batch2"
"Cell1209",6936,15287,19154,856,13837,1160,"Batch2"
"Cell1210",6293,8397,17316,548,11280,1071,"Batch2"
"Cell1211",6461,11886,18500,1200,11125,1120,"Batch2"
"Cell1212",7181,14383,17561,784,13576,1330,"Batch2"
"Cell1213",5711,9451,15806,612,12723,1022,"Batch2"
"Cell1214",7133,11899,16885,980,14494,1082,"Batch2"
"Cell1215",4439,6928,12222,592,10670,1081,"Batch2"
"Cell1216",7320,13384,19612,858,15049,1581,"Batch2"
"Cell1217",8574,12008,20599,771,15761,1646,"Batch2"
"Cell1218",7727,19043,19177,1032,18909,1248,"Batch2"
"Cell1219",7617,11290,14292,779,12420,1499,"Batch2"
"Cell1220",6481,12448,16871,714,14528,1199,"Batch2"
"Cell1221",9288,18506,25588,1341,16126,1773,"Batch2"
"Cell1222",6361,14690,17442,935,17495,1486,"Batch2"
"Cell1223",9070,14905,17977,923,14963,1444,"Batch2"
"Cell1224",8401,12650,16107,1102,13155,1255,"Batch2"
"Cell1225",8987,16177,23689,1058,14218,1896,"Batch2"
"Cell1226",7181,11774,22583,920,12186,1445,"Batch2"
"Cell1227",8628,14434,23412,1040,20804,1707,"Batch2"
"Cell1228",5570,9187,12655,679,9834,1039,"Batch2"
"Cell1229",9733,15639,22259,945,16893,1533,"Batch2"
"Cell1230",7735,15286,21828,1186,13913,1588,"Batch2"
"Cell1231",8343,18946,25767,1335,18616,1569,"Batch2"
"Cell1232",7339,11430,21476,1139,14966,1102,"Batch2"
"Cell1233",5648,11293,12884,748,12128,823,"Batch2"
"Cell1234",5964,11529,17113,794,11321,1120,"Batch2"
"Cell1235",8751,21020,21757,1221,18515,1535,"Batch2"
"Cell1236",6433,11948,18897,872,16828,1122,"Batch2"
"Cell1237",4987,10832,13593,633,11866,1126,"Batch2"
"Cell1238",6328,14098,16965,670,11272,1261,"Batch2"
"Cell1239",6709,13745,20428,825,11069,1301,"Batch2"
"Cell1240",7357,14703,20158,895,14555,1427,"Batch2"
"Cell1241",6565,12923,18475,949,14188,1294,"Batch2"
"Cell1242",9236,14625,17185,1241,15505,1262,"Batch2"
"Cell1243",5716,9407,16870,771,12815,1185,"Batch2"
"Cell1244",5133,8879,11484,677,10138,895,"Batch2"
"Cell1245",7486,11943,18381,1014,14807,1089,"Batch2"
"Cell1246",8193,14448,18906,1198,15266,1665,"Batch2"
"Cell1247",11177,15879,25659,1076,23021,1310,"Batch2"
"Cell1248",9234,12498,25487,928,17227,1411,"Batch2"
"Cell1249",6014,8091,15271,706,12010,962,"Batch2"
"Cell1250",4828,8846,9359,529,8880,885,"Batch2"
"Cell1251",8215,13995,26015,1194,18803,2092,"Batch2"
"Cell1252",4184,8958,11340,378,8525,886,"Batch2"
"Cell1253",9097,14356,24690,1006,15777,1167,"Batch2"
"Cell1254",7768,13889,21496,1005,16595,1277,"Batch2"
"Cell1255",8582,14673,24893,1231,19109,1365,"Batch2"
"Cell1256",8845,16862,24163,1445,20319,1772,"Batch2"
"Cell1257",8333,16204,25999,1161,14490,1399,"Batch2"
"Cell1258",8904,18516,22714,1152,21741,1682,"Batch2"
"Cell1259",5877,13222,13231,818,13313,946,"Batch2"
"Cell1260",10068,17968,20743,1093,17267,1364,"Batch2"
"Cell1261",8087,12487,18306,1106,15346,1456,"Batch2"
"Cell1262",9557,22964,24766,1441,21645,2006,"Batch2"
"Cell1263",8219,16203,22534,1281,20043,1890,"Batch2"
"Cell1264",7315,10336,17561,805,11811,940,"Batch2"
"Cell1265",8846,15769,24369,1165,19018,1461,"Batch2"
"Cell1266",12714,23883,27610,1523,21948,2192,"Batch2"
"Cell1267",7648,14650,22227,1139,13979,1575,"Batch2"
"Cell1268",11052,20542,19212,1007,22791,1394,"Batch2"
"Cell1269",10814,20159,29522,1154,18198,1662,"Batch2"
"Cell1270",10763,16678,25528,1174,17036,1322,"Batch2"
"Cell1271",7631,15054,15527,821,14434,1397,"Batch2"
"Cell1272",4688,9923,15202,750,11799,1230,"Batch2"
"Cell1273",6680,13934,23286,891,14022,1453,"Batch2"
"Cell1274",6466,15067,21026,881,13902,1279,"Batch2"
"Cell1275",8133,16084,23686,783,18319,1302,"Batch2"
"Cell1276",6219,10746,11215,705,10412,930,"Batch2"
"Cell1277",8776,18248,22132,1102,16896,1899,"Batch2"
"Cell1278",9521,12511,26952,1215,16818,1286,"Batch2"
"Cell1279",8871,16849,27664,1067,20878,1588,"Batch2"
"Cell1280",8190,15735,24035,1339,22174,1424,"Batch2"
"Cell1281",5727,7981,11373,541,11424,613,"Batch2"
"Cell1282",8361,18120,26996,983,19856,1780,"Batch2"
"Cell1283",5486,10740,14713,746,14214,1158,"Batch2"
"Cell1284",7198,11562,16114,827,14408,1032,"Batch2"
"Cell1285",8414,14116,23466,1197,16249,1969,"Batch2"
"Cell1286",8715,19395,23201,934,20672,1494,"Batch2"
"Cell1287",7857,15240,16223,1051,17012,1605,"Batch2"
"Cell1288",8004,13213,21314,716,15730,1076,"Batch2"
"Cell1289",11672,21441,36792,1728,26325,1798,"Batch2"
"Cell1290",6360,14168,15731,745,13053,1042,"Batch2"
"Cell1291",7541,10930,15892,824,13286,1210,"Batch2"
"Cell1292",10453,17497,18012,1007,17309,1687,"Batch2"
"Cell1293",7234,12581,19179,823,14890,1405,"Batch2"
"Cell1294",8733,15368,24235,1293,18924,1397,"Batch2"
"Cell1295",8047,10556,17871,903,15318,1277,"Batch2"
"Cell1296",11227,16871,26265,1366,18182,1897,"Batch2"
"Cell1297",8296,12054,19164,652,12886,1363,"Batch2"
"Cell1298",8739,15450,20895,1181,12996,1396,"Batch2"
"Cell1299",8922,19871,23085,1149,20252,2139,"Batch2"
"Cell1300",13120,25488,36164,1863,27385,3079,"Batch2"
"Cell1301",10404,11434,18158,1042,18930,1308,"Batch2"
"Cell1302",6607,17943,24202,1035,20734,1868,"Batch2"
"Cell1303",8655,22085,19457,1167,18294,1551,"Batch2"
"Cell1304",11350,23031,26808,1596,22729,1777,"Batch2"
"Cell1305",10423,15026,21152,933,18660,1802,"Batch2"
"Cell1306",4967,10711,13527,836,12820,1039,"Batch2"
"Cell1307",6041,12479,15381,934,17065,1088,"Batch2"
"Cell1308",8013,13435,15707,939,13357,1285,"Batch2"
"Cell1309",10339,16414,25863,1073,18666,1229,"Batch2"
"Cell1310",9057,16959,18560,884,19695,1515,"Batch2"
"Cell1311",6229,11736,14781,702,9092,1044,"Batch2"
"Cell1312",6722,12186,15060,930,14824,1375,"Batch2"
"Cell1313",5184,11277,14175,811,11829,965,"Batch2"
"Cell1314",8092,14552,22550,1123,17687,1180,"Batch2"
"Cell1315",7617,11250,15320,667,11032,1198,"Batch2"
"Cell1316",11548,21018,23074,1114,25412,1414,"Batch2"
"Cell1317",5301,8567,11891,593,10503,929,"Batch2"
"Cell1318",9015,16267,26640,997,17010,1339,"Batch2"
"Cell1319",6600,12169,18430,993,15709,1768,"Batch2"
"Cell1320",8291,15665,21858,920,19058,1606,"Batch2"
"Cell1321",7268,16050,20484,976,15559,1396,"Batch2"
"Cell1322",7141,10530,15817,797,13421,1120,"Batch2"
"Cell1323",10670,18271,25886,1122,17491,1694,"Batch2"
